season,week,game_id,platform,owner_id_home,owner_id_away,score_home,score_away,winner_owner_id,is_playoffs
2022,8,fleaflicker:2022:311194:8:51627302,fleaflicker,owner_cliff,owner_chris_c,83.6,96.88,owner_chris_c,False
2022,8,fleaflicker:2022:311194:8:51627301,fleaflicker,owner_david,ben_mccoy,65.68,139.18,ben_mccoy,False
2022,8,fleaflicker:2022:311194:8:51627300,fleaflicker,owner_joe,owner_john,95.32,97.32,owner_john,False
2022,9,fleaflicker:2022:311194:9:51627307,fleaflicker,owner_joe,owner_cliff,102.5,44.94,owner_joe,False
2022,9,fleaflicker:2022:311194:9:51627306,fleaflicker,owner_grant,owner_jeff,148.84,126.04,owner_grant,False
2022,9,fleaflicker:2022:311194:9:51627305,fleaflicker,owner_kyle,owner_chris_d,81.4,106.92,owner_chris_d,False
2022,9,fleaflicker:2022:311194:9:51627310,fleaflicker,owner_john,owner_james,140.82,60.5,owner_john,False
2022,9,fleaflicker:2022:311194:9:51627309,fleaflicker,ben_mccoy,owner_chris_c,114.9,54.3,ben_mccoy,False
2022,9,fleaflicker:2022:311194:9:51627308,fleaflicker,owner_david,owner_ryan,56.1,62.14,owner_ryan,False
2022,10,fleaflicker:2022:311194:10:51627312,fleaflicker,owner_david,owner_kyle,74.96,126.14,owner_kyle,False
2022,10,fleaflicker:2022:311194:10:51627311,fleaflicker,owner_joe,owner_grant,68.0,136.18,owner_grant,False
2022,10,fleaflicker:2022:311194:10:51627316,fleaflicker,owner_ryan,owner_james,89.52,81.38,owner_ryan,False
2022,10,fleaflicker:2022:311194:10:51627315,fleaflicker,owner_chris_d,owner_chris_c,66.7,81.24,owner_chris_c,False
2022,10,fleaflicker:2022:311194:10:51627314,fleaflicker,owner_jeff,ben_mccoy,76.14,80.3,ben_mccoy,False
2022,10,fleaflicker:2022:311194:10:51627313,fleaflicker,owner_cliff,owner_john,89.58,75.04,owner_cliff,False
2022,11,fleaflicker:2022:311194:11:51627318,fleaflicker,owner_grant,owner_david,91.68,93.84,owner_david,False
